feature,lower_bound,upper_bound,outlier_count,outlier_percentage
pH,3.567829503125,4.0729165781250005,24,1.6150740242261103
ammonia.s,2.5164020536723712,8.013352608021416,2,0.13458950201884254
lactic.ac.s,1.522297053850386,7.962776008049277,22,1.4804845222072678
acetic.ac.s,-0.03604971509694177,2.4408382870962866,29,1.9515477792732168
propionic.ac.s,-0.12249267006256767,0.2807842146762318,234,15.746971736204577
butyric.ac.s,-0.030374791937496523,0.20285944207313014,47,3.1628532974428
ethanol.s,-0.3522312751262693,2.5389396572704257,31,2.0861372812920593
mannithol.s,-0.6089225024713238,3.111318824351951,4,0.2691790040376851
dm.s,16.987427771874998,49.579201646875,5,0.3364737550471063
starch.s,17.866996672087847,45.21366004506555,3,0.2018842530282638
fqi,23.04232090693952,82.09472840894881,12,0.8075370121130552
